Date,Invested,PnL,Balance
2026-05-01,0,0,10000000
2026-05-19,9898700,-782100,9217900
2026-05-20,0,0,9217900
2026-05-21,0,0,9217900
2026-05-22,0,0,9217900
2026-05-25,0,0,9217900
2026-05-27,0,0,9217900
2026-05-28,9215885,270525,9488425
2026-05-29,0,0,9488425
2026-06-01,0,0,9488425
2026-06-02,0,0,9488425
2026-06-03,0,0,9488425
2026-06-04,0,0,9488425
2026-06-05,0,0,9488425
2026-06-09,0,0,9488425
2026-06-10,0,0,9488425
2026-06-11,9468900,445500,9933925
2026-06-12,0,0,9933925
2026-06-15,0,0,9933925
2026-06-16,0,0,9933925
2026-06-17,0,0,9933925
2026-06-18,0,0,9933925
2026-06-22,0,0,9933925
2026-06-23,0,0,9933925
2026-06-24,9925920,135600,10069525
2026-06-25,0,0,10069525
2026-06-26,10043200,-782400,9287125
2026-06-29,9273760,1096640,10383765
2026-06-30,0,0,10383765
2026-07-01,0,0,10383765
2026-07-02,0,0,10383765
2026-07-03,10383660,1084860,11468625
2026-07-06,0,0,11468625
2026-07-08,0,0,11468625
2026-07-09,11466900,69750,11538375
2026-07-13,0,0,11538375
2026-07-14,11536680,3451920,14990295
2026-07-15,14952300,2319240,17309535
2026-07-16,0,0,17309535
2026-07-17,0,0,17309535
2026-07-20,17152575,198120,17507655
2026-07-21,17503920,-634200,16873455
2026-07-22,0,0,16873455
2026-07-23,0,0,16873455
2026-07-24,16815705,-237330,16636125
2026-07-27,16590380,-1843570,14792555
2026-07-28,14788050,-31100,14761455
2026-07-29,14756950,-108850,14652605
2026-07-30,14508900,-1072200,13580405
2026-07-31,13564800,-28800,13551605
2026-08-03,0,0,13551605
2026-08-04,13549300,2013900,15565505
2026-08-05,15517600,1433180,16998685
2026-08-06,16831320,-186693,16811992
2026-08-07,16645530,344300,17156292
2026-08-10,17133410,1666560,18822852
2026-08-11,18760460,-191590,18631262
2026-08-12,18591730,400230,19031492
2026-08-13,19013690,374870,19406362
2026-08-14,19364520,-1009880,18396482
2026-08-17,18389440,-481200,17915282
2026-08-18,0,0,17915282
2026-08-19,17893930,68140,17983422
2026-08-20,0,0,17983422
2026-08-21,17945200,88400,18071822
2026-08-24,18064800,154400,18226222
2026-08-26,18224060,290920,18517142
2026-08-28,0,0,18517142
