시장,종목명,코드,최종확률,절대금지확률,관망확률,예측시점가격,목표가,손절가,거래량파워
KOSPI,SK하이닉스,000660,34.91031119872965,32.57484785103375,32.51484244035272,1940000,2017600,1881800,94
KOSPI,광전자,017900,42.21852356221193,37.358798738006996,20.422673974490777,13700,14248,13289,492
KOSPI,삼성전자우,005935,25.376189534740078,30.214750920944265,44.40906103443177,187800,195312,182166,95
KOSPI,대우건설,047040,35.486909458920366,37.22080026746424,27.29228878349928,28350,29484,27499,83
KOSPI,LG전자,066570,41.219476547022325,38.105625866688975,20.67489907640482,235000,244400,227950,157
KOSPI,현대모비스,012330,36.5644291663732,40.03524795197764,23.40032362670722,670000,696800,649900,173
KOSPI,현대차,005380,31.559847342185428,34.871969194657,33.568183463157574,666000,692640,646020,85
KOSPI,삼성전자,005930,27.43770501906827,27.645059911601788,44.91723655944605,299500,311480,290515,113
KOSPI,삼성전기,009150,38.02126721263711,39.578611997092,22.40012004521282,1204000,1252160,1167880,135
KOSPI,SK스퀘어,402340,33.47171288333675,32.69860140921822,33.82968570744504,1179000,1226160,1143630,87
KOSPI,LS ELECTRIC,010120,34.82244332800344,39.77364136475949,25.403915307237074,271500,282360,263355,83
KOSPI,한미반도체,042700,42.305651626610874,37.49957787958362,20.194769748747447,332500,345800,322525,85
KOSPI,LG씨엔에스,064400,29.999031430007328,39.19172062387677,30.809249436232015,80200,83408,77794,190
KOSPI,HD현대중공업,329180,38.90798028640641,38.71742029734274,22.37459867119278,672000,698880,651840,77
KOSPI,삼성SDI,006400,40.83763798673661,34.47403576477299,24.68832401331622,616000,640640,597520,58
KOSPI,대원전선,006340,36.575426160476944,41.627916852858256,21.796656986664797,15220,15828,14763,57
KOSPI,대한전선,001440,34.45720714866079,40.514967465222995,25.02782687623234,56000,58240,54320,34
KOSPI,LG디스플레이,034220,32.29597653055889,36.42078177816155,31.283244671511802,14740,15329,14297,162
KOSPI,삼성물산,028260,36.494838128379094,38.92915448388224,24.576005897622544,418500,435240,405945,94
KOSPI,두산에너빌리티,034020,35.54199411184267,35.070780759065066,29.387222148860026,108400,112736,105148,59
KOSPI,효성중공업,298040,33.41703006128892,37.790060635681435,28.7929063227974,3929000,4086160,3811130,103
KOSPI,기아,000270,29.19290469414187,35.22641694736842,35.58067612331553,167900,174616,162863,92
KOSPI,LG이노텍,011070,38.01977492234952,38.26924517455061,23.71097990309986,838000,871520,812860,79
KOSPI,LG,003550,31.12114762019046,33.272040542125104,35.60681332780056,123000,127920,119310,337
KOSPI,두산로보틱스,454910,34.23918703022725,39.46974518077177,26.291069279117096,107600,111904,104372,100
KOSPI,현대오토에버,307950,35.68963715791607,41.724918303916745,22.585445283225248,629000,654160,610130,88
KOSPI,HD현대일렉트릭,267260,34.20958472726139,34.84890203146853,30.941511751153953,1136000,1181440,1101920,90
KOSPI,한화에어로스페이스,012450,35.85915018654705,42.13000136794649,22.010847700448405,1248000,1297920,1210560,71
KOSPI,POSCO홀딩스,005490,34.11903780264288,37.602558794128214,28.278401913112788,443500,461240,430195,57
KOSPI,미래에셋증권,006800,36.11686309438984,36.896787561710354,26.986347853783688,66500,69160,64505,57
KOSPI,LIG디펜스앤에어로스페이스,079550,38.955962975980626,41.77387217389843,19.27016037977259,862000,896480,836140,55
KOSPI,NAVER,035420,27.95161645715243,38.0803228859342,33.96806065691338,199500,207480,193515,95
KOSPI,대덕전자,353200,35.41982006909751,36.34917556748663,28.231002873299733,146400,152256,142008,121
KOSPI,산일전기,062040,40.239554049347554,36.91089794727941,22.849548003373037,276000,287040,267720,74
KOSPI,SK,034730,33.75610818375975,31.625960771150936,34.61793551543767,576000,599040,558720,107
KOSPI,현대건설,000720,34.461034586224464,39.001264930594374,26.53769675789086,147100,152984,142687,78
KOSPI,셀트리온,068270,30.362735710372142,40.274033943153036,29.363230346474822,189600,197184,183912,116
KOSPI,이수페타시스,007660,35.4657093000313,39.24962364302337,25.284668547061457,127800,132912,123966,65
