이름,등락률,1등주(대장),1등 수익률,꼴등주(부진),꼴등 수익률
생명보험,7.95,삼성생명,17.07,한화생명,1.46
서울고속버스터미널 재개발 수혜,5.16,신세계,10.27,대성산업,-3.58
통신,3.75,SK텔레콤,11.59,LG유플러스,-1.64
백화점,3.24,신세계,10.27,한화갤러리아,-4.66
면세점,2.81,신세계,10.27,호텔신라,-3.87
토스(toss),1.89,엔비티,13.19,한화투자증권,-3.97
출산장려정책,1.82,헝셩그룹,30.0,폴레드,-8.63
홈쇼핑,1.77,롯데쇼핑,4.47,태광산업,-2.0
손해보험,1.63,삼성화재,6.13,롯데손해보험,-2.16
소매유통,1.51,신세계,10.27,한화갤러리아,-4.66
인터넷 대표주,1.48,NAVER,3.31,카카오,-0.35
NFT(대체불가토큰),1.48,컴퍼니케이,30.0,다날,-3.51
게임,1.43,한빛소프트,15.66,NHN,-10.57
엔젤산업,1.37,헝셩그룹,30.0,폴레드,-8.63
제습기,1.13,코웨이,5.11,에스피지,-3.28
모바일게임(스마트폰),1.09,한빛소프트,15.66,NHN,-10.57
공기청정기,1.03,성호전자,20.41,오텍,-8.57
부동산 보유 자산주,1.01,신세계,10.27,BYC,-4.69
편의점,0.98,BGF리테일,6.43,유성티엔에스,-4.54
은행,0.97,신한지주,4.1,제주은행,-1.76
정유,0.9,S-Oil,3.44,GS,-0.82
광고,0.83,엔비티,13.19,엔피,-7.39
치아 치료(임플란트 등),0.7,오스코텍,3.58,오스테오닉,-2.77
자전거,0.6,삼천리자전거,3.75,빅텍,-2.7
테마파크,0.59,국보디자인,3.76,현대건설,-3.38
종합상사,0.57,SK네트웍스,8.08,효성티앤씨,-3.52
3D 프린터,0.45,로보스타,29.95,로킷헬스케어,-8.75
지역화폐,0.42,쿠콘,2.18,유라클,-1.74
캐릭터상품,0.34,더핑크퐁컴퍼니,6.12,에피소드컴퍼니,-3.66
교육/온라인 교육,0.34,삼성출판사,30.0,비트플래닛,-12.08
영상콘텐츠,0.27,M83,29.92,큐로홀딩스,-11.5
딥페이크(deepfake),0.27,M83,29.92,알체라,-9.69
창투사,0.25,컴퍼니케이,30.0,아주IB투자,-9.15
뉴로모픽 반도체,0.15,네패스,7.8,네패스아크,-6.49
패션/의류,0.1,에스제이그룹,16.35,폴라리스AI,-9.38
리모델링/인테리어,0.06,대림통상,6.74,진영,-4.62
웹툰,0.03,엔비티,13.19,이스트에이드,-10.64
기업인수목적회사(SPAC),-0.03,IBKS제24호스팩,0.61,메리츠제1호스팩,-0.69
SNS(소셜네트워크서비스),-0.07,포니링크,10.2,이루온,-5.68
음성인식,-0.09,NAVER,3.31,셀바스AI,-3.88
모바일콘텐츠(스마트폰/태블릿PC),-0.11,삼성출판사,30.0,티사이언티픽,-5.84
카카오뱅크(kakao BANK),-0.21,KB금융,2.96,인포뱅크,-5.13
일자리(취업),-0.26,데이원컴퍼니,5.63,TS인베스트먼트,-5.0
시멘트/레미콘,-0.29,한일시멘트,3.43,성신양회,-3.69
건강기능식품,-0.35,케이엠제약,29.8,우리이앤엘하루틴,-10.75
페인트,-0.36,벽산,2.26,AK홀딩스,-4.01
화장품,-0.39,헝셩그룹,30.0,달바글로벌,-7.46
음원/음반,-0.39,더핑크퐁컴퍼니,6.12,다날,-3.51
인터넷은행,-0.44,KB금융,2.96,포스코DX,-8.79
"주류업(주정, 에탄올 등)",-0.46,하이트진로,3.58,한국알콜,-5.75
건설기계,-0.52,프리엠스,2.18,삼미금속,-6.34
"스포츠행사 수혜(올림픽, 월드컵 등)",-0.52,하이트진로,3.58,마니커,-5.32
국내 상장 중국기업,-0.53,헝셩그룹,30.0,윙입푸드,-29.97
밸류업(25년 기업가치 제고계획 발표),-0.56,일정실업,10.14,한국항공우주,-9.82
리츠(REITs),-0.59,미래에셋글로벌리츠,5.19,마스턴프리미어리츠,-7.35
마이데이터,-0.61,NAVER,3.31,파수AI,-3.6
도시가스,-0.65,서울가스,0.89,지에스이,-2.4
LED,-0.65,성호전자,20.41,우리이앤엘하루틴,-10.75
황사/미세먼지,-0.66,누리플랜,10.14,포스코DX,-8.79
공작기계,-0.69,화천기계,10.34,SNT다이내믹스,-6.44
윤활유,-0.69,S-Oil,3.44,흥구석유,-5.57
카지노,-0.71,강원랜드,0.33,롯데관광개발,-1.96
미디어(방송/신문),-0.72,CJ ENM,4.22,콘텐트리중앙,-5.2
마켓컬리(kurly),-0.75,SK네트웍스,8.08,미래에셋벤처투자,-7.75
스마트홈(홈네트워크),-0.78,SK텔레콤,11.59,누리플렉스,-9.37
탈 플라스틱(친환경/생분해성 등),-0.8,디아이씨,10.47,씨티케이,-4.66
소캠(SOCAMM),-0.8,엠케이전자,12.53,대덕전자,-11.42
콩/대두,-0.82,풀무원,0.8,샘표,-1.81
음식료업종,-0.84,네이처셀,12.64,한탑,-12.33
삼성페이,-0.86,알에프텍,11.51,아모텍,-10.69
제약업체,-0.86,비보존 제약,29.82,압타머사이언스,-8.17
코로나19(치료제/백신 개발 등),-0.86,인바이오젠,12.72,아이진,-6.96
증강현실(AR),-0.88,NC,14.38,케이쓰리아이,-6.49
마이크로바이옴,-0.89,DXVX,5.91,쎌바이오텍,-4.38
애플페이,-0.9,엑스플러스,3.98,NHN KCP,-6.36
밸류업(24년 기업가치 제고계획 발표),-0.92,SK텔레콤,11.59,LG이노텍,-18.17
그래핀,-0.92,다산솔루에타,6.23,덕산하이메탈,-5.71
골프,-0.93,미스토홀딩스,6.02,라온피플,-4.79
가상화폐(비트코인 등),-0.94,인바이오젠,12.72,비트플래닛,-12.08
사료,-0.95,선진,4.75,한탑,-12.33
구제역/광우병 수혜,-0.96,우진비앤지,3.03,마니커,-5.32
마이코플라스마 폐렴,-0.96,DXVX,5.91,국전,-4.84
수산,-0.96,사조씨푸드,2.03,한성기업,-4.14
호텔/리조트,-0.97,SK네트웍스,8.08,한화,-7.76
반도체 대표주(생산),-1.02,삼성전자,3.3,DB하이텍,-6.23
주유소,-1.03,세기상사,10.05,위즈코프,-7.97
