이름,등락률,1등주(대장),1등 수익률,꼴등주(부진),꼴등 수익률
생명보험,16.23,삼성생명,17.07,한화생명,1.46
무선통신서비스,8.86,SK텔레콤,11.59,와이어블,-4.4
디스플레이패널,5.3,LG디스플레이,5.63,코텍,-0.54
백화점과일반상점,4.8,신세계,10.27,한화갤러리아,-4.66
게임엔터테인먼트,4.43,한빛소프트,15.66,네오리진,-3.34
손해보험,4.41,삼성화재,6.13,흥국화재우,-2.19
출판,3.04,삼성출판사,30.0,와이랩,-4.95
전자제품,2.86,아남전자,10.47,알로이스,-6.75
복합기업,2.85,SK네트웍스,8.08,LG,-15.56
은행,2.51,신한지주,4.1,제주은행,-1.76
가정용기기와용품,2.38,부방,11.09,폴레드,-8.63
양방향미디어와서비스,2.08,FSN,3.76,플리토,-11.41
사무용전자제품,2.08,신도리코,2.08,신도리코,2.08
전문소매,2.07,포니링크,10.2,일월지엠엘,-1.29
카드,1.96,삼성카드,1.96,삼성카드,1.96
상업서비스와공급품,1.78,에스원,5.71,자연과환경,-6.42
반도체와반도체장비,1.57,미코,15.71,미래산업,-13.64
음료,1.43,롯데칠성우,8.64,한울앤제주,-4.38
다각화된통신서비스,1.31,KT,1.32,원포유,-0.3
석유와가스,1.27,S-Oil,3.44,에스아이리소스,-7.25
식품과기본식료품소매,1.15,네오크레마,6.97,바이오텐,-14.96
운송인프라,1.0,맥쿼리인프라,1.29,위즈코프,-7.97
생물공학,0.8,코오롱티슈진,15.26,메디톡스,-8.43
기타금융,0.61,글로벌텍스프리,1.83,메이슨캐피탈,-12.99
종이와목재,0.51,국일제지,4.42,페이퍼코리아,-7.74
가구,0.5,코아스,5.59,시디즈,-3.6
교육서비스,0.45,데이원컴퍼니,5.63,에이럭스,-5.09
도로와철도운송,0.31,동양고속,10.04,유성티엔에스,-4.54
"섬유,의류,신발,호화품",0.29,에스제이그룹,16.35,도부,-14.96
건축자재,0.11,윈하이텍,6.79,아세아,-6.21
광고,-0.02,엔비티,13.19,엔피,-7.39
레저용장비와제품,-0.11,헝셩그룹,30.0,이녹스,-4.26
항공사,-0.11,한진칼,2.79,제주항공,-4.26
식품,-0.12,체리부로,7.67,윙입푸드,-29.97
다각화된소비자서비스,-0.15,이상네트웍스,-0.15,이상네트웍스,-0.15
건축제품,-0.15,대림통상,6.74,베노티앤알,-9.09
담배,-0.27,KT&G,-0.27,KT&G,-0.27
가정용품,-0.34,케이엠제약,29.8,질경이,-7.75
인터넷과카탈로그소매,-0.35,그래디언트,3.06,청담글로벌,-1.26
기타,-0.41,키움 인버스 2X 전력 TOP5 ETN,16.53,키움 레버리지 전력 TOP5 ETN,-16.59
"호텔,레스토랑,레저",-0.57,골프존,2.7,하나투어,-3.66
방송과엔터테인먼트,-0.62,M83,29.92,아센디오,-17.68
자동차부품,-0.99,THE CUBE&,12.29,계양전기우,-15.25
문구류,-1.05,모나미,-1.05,모나미,-1.05
가스유틸리티,-1.24,E1,1.41,지에스이,-2.4
부동산,-1.51,미래에셋글로벌리츠,5.19,JK리버스톤리츠,-65.85
해운사,-1.52,주성코퍼레이션,1.72,STX그린로지스,-4.9
판매업체,-1.69,더라미,3.26,소노스퀘어,-5.36
기계,-1.79,로보스타,29.95,코스모로보틱스,-15.07
제약,-1.92,비보존 제약,29.82,바이젠셀,-17.22
자동차,-2.3,도이치모터스,2.16,현대차2우B,-4.57
건강관리업체및서비스,-2.32,안지오랩,8.43,싸이토젠,-8.73
핸드셋,-2.49,팸텍,29.99,엑스큐어,-16.61
포장재,-2.53,리더스코스메틱,4.39,율촌화학,-4.51
통신장비,-2.53,에프알텍,7.09,카티스,-10.48
생명과학도구및서비스,-2.55,바이오인프라생명과학,11.21,올릭스,-9.72
증권,-2.6,신영증권,5.7,SK증권우,-10.77
무역회사와판매업체,-2.63,현대코퍼레이션,0.0,포스코인터내셔널,-2.76
건강관리장비와용품,-2.66,하이로닉,8.59,한국비티비,-24.97
디스플레이장비및부품,-2.73,인베니아,8.12,럭스피아,-14.57
소프트웨어,-2.75,에스에스알,5.43,마키나락스,-17.56
전기유틸리티,-2.77,한전KPS,-2.25,그리드위즈,-5.1
비철금속,-2.97,삼보산업,10.76,EG,-6.97
조선,-3.03,삼성중공업,0.54,티엠씨,-9.55
에너지장비및서비스,-3.07,엔에스컴퍼니,14.9,앱튼,-12.46
컴퓨터와주변기기,-3.17,에이루트,0.62,디지아이,-8.3
건설,-3.18,엄지하우스,14.42,한성크린텍,-11.42
철강,-3.23,신스틸,8.7,동일스틸럭스,-12.2
화학,-3.4,나노실리칸첨단소재,12.67,쎄노텍,-11.78
창업투자,-3.44,컴퍼니케이,30.0,아주IB투자,-9.15
화장품,-3.59,에스알바이오텍,4.58,달바글로벌,-7.46
전기제품,-3.82,성호전자,20.41,성문전자,-10.98
복합유틸리티,-3.85,지역난방공사,-3.85,지역난방공사,-3.85
항공화물운송과물류,-4.1,세방우,3.02,현대글로비스,-4.73
건강관리기술,-4.38,코어라인소프트,1.96,씨어스,-6.65
우주항공과국방,-5.87,솔디펜스,4.12,비유테크놀러지,-40.0
